,FileName,Caption
0,000000171297.jpg,Girl laying on her bed using laptop computer. 
1,000000171297.jpg,A blonde woman laying down on a bed with a laptop. 
2,000000171297.jpg,a person laying in a bed with a laptop 
3,000000171297.jpg,A beautiful young woman laying on her stomach in front of a laptop.
4,000000171297.jpg,A woman uses a laptop computer in bed.
5,000000148361.jpg,a man riding a wave with a colorful surfboard 
6,000000148361.jpg,a man is surfing on a wave at a beach
7,000000148361.jpg,A surfer on a surfboard riding the waves.
8,000000148361.jpg,The surfer caught a nice wave and will ride it to shore.
9,000000148361.jpg,Man surfing breaking wave in open ocean on nice day.
10,000000454783.jpg,The back of a train with graffiti on it.
11,000000454783.jpg,Several graffiti on the wall of an old home.
12,000000454783.jpg,Graffiti on the side of a train car and building. 
13,000000454783.jpg,Several types of graffiti on a train car.
14,000000454783.jpg,a wall with a bunch of different graffiti on it
15,000000027591.jpg,A simple room is shown with wrinkled bedding.
16,000000027591.jpg,Mattress covered with a blanket in an otherwise empty room.
17,000000027591.jpg,"A room with a bed, sheets and shelves. "
18,000000027591.jpg,A bed is shown with wrinkled sheets on it.
19,000000027591.jpg,"A bed with a window behind it, covered with a rumpled sheet. "
20,000000233497.jpg,A woman and man with a surfboard are standing near an umbrella and lounge chairs at a beach.
21,000000233497.jpg,A male and a female standing next to each other on a beach.
22,000000233497.jpg,A group of peope sit int he sand out side
23,000000233497.jpg,A surfer with surfboard stops a bright beach umbrella to meet with a friend.
24,000000233497.jpg,A man holds a surfboard on a beach.
25,000000186611.jpg,"A pitcher, catcher, batter and umpire in a baseball game."
26,000000186611.jpg,Pitcher in motion throwing ball at batter during baseball game.
27,000000186611.jpg,a baseball player swings a bat at a pitch
28,000000186611.jpg,an image of a baseball game being played in progress
29,000000186611.jpg,a crowd looks on as a baseball player attempts to strike the ball
30,000000427169.jpg,A man standing up at a podium with a tablet in his hand. 
31,000000427169.jpg,A man is standing behind a lectern teaching a class.
32,000000427169.jpg,The man is speaking at the podium while holding a book.
33,000000427169.jpg,A picture of a older man giving a lecture to some people in a big room
34,000000427169.jpg,A man at a podium gives a lecture while holding a tablet.
35,000000054037.jpg,a man in a dark suit and a white hat
36,000000054037.jpg,Man with safari hat and nice dress smiling with strang background.
37,000000054037.jpg,A man wearing a hat and a black jacket.
38,000000054037.jpg,A man wears a suit and hat and smiles at the camera.
39,000000054037.jpg,Man in suit with white hat and green background.
40,000000066445.jpg,A white plate topped with pasta and chicken with broccoli
41,000000066445.jpg,"A plate of pasta, mushrooms, broccoli. and cheese."
42,000000066445.jpg,A dish of rotini and shell pasta tossed with broccoli and parmesan cheese in a lite white sauce.
43,000000066445.jpg,Some awful looking pasta with broccoli is seen here.
44,000000066445.jpg,pasta shells and broccoli sprinkled with Parmesan  cheese
45,000000379375.jpg,A dog looking through the glass of a window.
46,000000379375.jpg,a dog stands at a back door window looking
47,000000379375.jpg,The dog is standing by the glass in the door.
48,000000379375.jpg,A dog looking out through a glass door.
49,000000379375.jpg,A dog standing inside a door looking through the glass.
