,FileName,Caption
0,000000151327.jpg,A man and a woman are sitting on a stage
1,000000151327.jpg,The couple is conducting their seminar on stage.
2,000000151327.jpg,"Two people sit in an area, the man wearing all white"
3,000000151327.jpg,a woman with a brief case sits in front of a man on a chair 
4,000000151327.jpg,A woman is sitting on the floor with heir suitcase.
5,000000332397.jpg,A group of kids that are standing in the snow.
6,000000332397.jpg,A woman and two children going for a walk in the snow
7,000000332397.jpg,One child pulls another on a sled while an adult skis behind them
8,000000332397.jpg,a young girl is pulling a boy in a sled on the snow
9,000000332397.jpg,A young girl pulls a toddler along in a sled
10,000000560567.jpg,A woman and a little girl skiing together in the snow 
11,000000560567.jpg,A mother on skis holding her son who is on child size skis.
12,000000560567.jpg,A woman with a child on skis go down the snow.
13,000000560567.jpg,Joyful woman on skis guides her daughter through the snow.
14,000000560567.jpg,a person on skis holding a small child on skies
15,000000317349.jpg,Two girls in the city talking on their cell phones.
16,000000317349.jpg,An advertisement with two girls talking on the phone.
17,000000317349.jpg,Altered photograph of young women on cell phones sitting on city buildings
18,000000317349.jpg,Two beautiful women sitting on top of a cities sky line.
19,000000317349.jpg,Photoshopped image of young women on cell phones sitting on city.
20,000000378293.jpg,A crowd of people and a horse in walking through a street.
21,000000378293.jpg,a horse on a city street with a building in the background
22,000000378293.jpg,A street scene with a close up of a horse pulling a cart.
23,000000378293.jpg,A white horse and boy in an orange shirt in the streets
24,000000378293.jpg,A horse is pulling a cart of vegetables in a town center.
25,000000096826.jpg,A double decker bus is following a green city bus.
26,000000096826.jpg,Regular bus parked at a bus stop in front of a double decker bus
27,000000096826.jpg,A green bus parked in front of a double deck bus.
28,000000096826.jpg,A green and a pink bus are next to a store.
29,000000096826.jpg,Several buses wait in line at a bus stop.
30,000000575585.jpg,"Shot of a bathroom doorway, a sink and a mirror."
31,000000575585.jpg,A view of a sink and outside of a bathroom.
32,000000575585.jpg,"A room contains a sink, mirror, and a door, but is otherwise empty."
33,000000575585.jpg,A bare bathroom with yellow walls and white appliances. 
34,000000575585.jpg,a bathroom with a sink and an open door
35,000000308191.jpg,a zebra stands knee deep in a body of water 
36,000000308191.jpg,A Zebra is standing in the shallow water. 
37,000000308191.jpg,A zebra that is standing  in the water.
38,000000308191.jpg,a zebra standing alone in a pool of water
39,000000308191.jpg,A zebra standing still in a body of water.
40,000000511623.jpg,An antique train with green engine and red passenger cars.
