,FileName,Caption
0,000000213224.jpg,A vase filled with flowers next to a smaller vase filled with even more flowers.
1,000000213224.jpg,Two vases filled with flowers on a table.
2,000000213224.jpg,Two vases of fresh flowers sit on top of the table.
3,000000213224.jpg,a small vase and a large vase of flowers on a table
4,000000213224.jpg,A wooden table holding two vases of flowers.
5,000000432085.jpg,A man leaning his mouth down to a plate that has a sandwich on it and a blue water bottle behind it.
6,000000432085.jpg,"Without using hands, a man tries to bite a pair of sandwiches."
7,000000432085.jpg,A man eating a sandwich off of a white plate.
8,000000432085.jpg,A smiling guy sticking his face near a big sandwich.
9,000000432085.jpg,A man taking a bite of a sandwich without using his hands 
10,000000175364.jpg,"A kitchen with two stoves, an island, and appliances."
11,000000175364.jpg,this is a kitchen with two stoves and a table
12,000000175364.jpg,A kitchen with black appliances and open cupboards sits empty. 
13,000000175364.jpg,a kitchen view of a table counter top and cabinets
14,000000175364.jpg,a room showing a cooker and an oven
15,000000222458.jpg,A woman in a coat walks along a snow covered sidewalk. 
16,000000222458.jpg,People walking around a snow covered park area.
17,000000222458.jpg,People walking through the snow past park benches.
18,000000222458.jpg,"Entire front yard is filled with snow while people walk around.
"
19,000000222458.jpg,A person walking down the street past snow covered benches
20,000000047571.jpg,Some people sit in a carriage pulled by a horse. 
21,000000047571.jpg,A group of people that are on a horse.
22,000000047571.jpg,A horse pulls a small carriage in which two people are riding.
23,000000047571.jpg,"A pair of people ride a small, horse drawn buggy near a large puddle of water."
24,000000047571.jpg,A horse drawn carriage being pulled through the mud
25,000000304545.jpg,A black suitcase with a handle and white background.
26,000000304545.jpg,A rolling suitcase with smaller case attached to the handle of it.
27,000000304545.jpg,a close up of a smaller luggage bag 
28,000000304545.jpg,"A small carry-on bag, strapped to the handle of a larger suitcase from the same set of luggage."
29,000000304545.jpg,A black bag attached to the long handle of a piece of luggage.
30,000000068078.jpg,A dog in a small bathroom with an orange shower curtain.
31,000000068078.jpg,A dog that is standing on a rug in a bathroom.
32,000000068078.jpg,A small dug stands on a white rug in the bathroom.
33,000000068078.jpg,The dog was standing in the bathroom near the sink and toilet.
34,000000068078.jpg,A puppy sitting on the ground in a bathroom
35,000000270402.jpg,Two gray elephants standing next to each other on a road.
36,000000270402.jpg,A couple of elephants are walking around in the dirt
37,000000270402.jpg,An elephant trying to reach something on the ground with his trunk.
38,000000270402.jpg,Two elephants are standing are standing in an enclosure.
39,000000270402.jpg,Two elephants standing in a pen in different spots.
